Marital status,Application mode,Application order,Course,Daytime evening attendance,Previous qualification,Previous qualification grade,Nacionality,Mother s qualification,Father s qualification,Mother s occupation,Father s occupation,Admission grade,Displaced,Educational special needs,Debtor,Tuition fees up to date,Gender,Scholarship holder,Age at enrollment,International,Curricular units 1st sem credited,Curricular units 1st sem enrolled,Curricular units 1st sem evaluations,Curricular units 1st sem approved,Curricular units 1st sem grade,Curricular units 1st sem without evaluations,Curricular units 2nd sem credited,Curricular units 2nd sem enrolled,Curricular units 2nd sem evaluations,Curricular units 2nd sem approved,Curricular units 2nd sem grade,Curricular units 2nd sem without evaluations,Unemployment rate,Inflation rate,GDP,Target
1,1,3,9773,1,1,149.0,1,1,3,0,0,148.7,0,0,0,0,1,0,20,0,0,4,4,0,0,0,0,4,8,0,0.0,0,10.8,1.4,1.74,Dropout
1,7,1,8014,0,3,140.0,1,1,1,4,4,140.0,0,0,0,1,0,0,30,0,0,6,0,0,0,0,0,6,0,0,0.0,0,10.8,1.4,1.74,Dropout
1,1,1,9670,1,1,131.0,1,37,37,9,9,123.0,1,0,0,1,0,1,18,0,0,5,6,3,11,0,0,5,6,4,13.5,0,7.6,2.6,0.32,Enrolled
1,1,1,9238,1,1,151.0,1,37,1,9,9,138.4,1,0,0,1,0,1,20,0,0,6,8,6,14,0,0,6,8,6,11.0,0,12.7,3.7,-1.7,Graduate
1,1,1,9147,1,1,127.0,1,1,4,9,10,121.8,0,0,0,1,1,0,19,0,0,5,8,5,11,0,0,5,10,4,13.5,3,16.2,0.3,-0.92,Graduate
1,1,1,9670,1,1,141.0,1,1,19,4,4,132.6,0,0,0,1,0,1,18,0,0,6,8,6,14,0,0,6,7,6,13.142857142857142,0,11.1,0.6,2.02,Graduate
1,44,3,9085,1,39,150.0,1,1,19,4,1,150.0,1,0,0,1,0,0,19,0,0,5,10,1,13,1,0,5,8,3,15.333333333333334,0,12.7,3.7,-1.7,Enrolled
1,1,1,9085,1,1,123.0,1,3,1,2,5,112.9,0,0,0,1,1,0,18,0,0,5,5,0,0,0,0,5,5,0,0.0,0,7.6,2.6,0.32,Dropout
1,17,1,9147,1,1,120.0,1,38,38,9,8,118.3,0,0,0,1,1,0,18,0,0,5,13,1,10,0,0,5,5,1,10.0,0,12.7,3.7,-1.7,Dropout
1,16,1,9085,1,1,140.0,1,1,1,9,9,127.1,1,0,0,1,0,0,18,0,0,5,8,4,13,1,0,5,10,4,10.5,0,12.7,3.7,-1.7,Graduate
1,17,4,9085,1,1,126.0,1,1,3,5,5,123.9,1,0,0,1,1,0,21,0,0,6,0,0,0,0,0,6,0,0,0.0,0,10.8,1.4,1.74,Dropout
1,1,5,9500,1,1,144.0,1,37,37,7,9,126.8,1,0,1,0,0,0,18,0,0,7,0,0,0,0,0,8,0,0,0.0,0,9.4,-0.8,-3.12,Dropout
1,1,6,9119,1,1,126.0,1,19,19,7,3,116.6,1,0,0,1,1,1,20,0,0,5,6,5,14,0,0,5,7,5,13.8,0,8.9,1.4,3.51,Graduate
1,1,1,9238,1,1,168.0,1,37,37,9,9,149.5,0,0,0,1,0,0,18,0,0,6,10,6,17,0,0,6,11,6,16.0,0,12.4,0.5,1.79,Graduate
1,1,1,171,1,1,133.1,1,3,1,2,4,128.2,1,0,0,1,0,0,20,0,5,12,13,12,11,0,3,11,18,9,12.77777777777778,0,11.1,0.6,2.02,Graduate
1,17,2,9500,1,1,130.0,1,38,38,7,7,122.5,1,0,0,1,0,0,19,0,0,8,8,7,13,0,0,8,8,7,13.937142857142858,0,10.8,1.4,1.74,Graduate
1,1,4,9500,1,1,144.0,1,3,39,2,3,129.0,1,0,0,1,0,0,18,0,0,7,8,7,12,0,0,8,9,8,13.411111111111111,0,16.2,0.3,-0.92,Dropout
1,1,1,9119,1,1,121.0,1,3,1,2,3,114.0,0,0,0,1,1,0,20,0,0,5,9,4,11,0,0,5,7,4,12.25,2,7.6,2.6,0.32,Enrolled
1,17,2,9773,1,1,126.0,1,19,38,9,8,118.7,1,0,0,1,0,1,18,0,0,6,6,6,14,0,0,6,6,6,13.666666666666666,0,12.4,0.5,1.79,Graduate
1,1,3,9500,1,1,136.0,1,1,1,4,4,127.0,1,0,0,1,0,0,19,0,0,8,10,1,13,7,0,8,10,1,13.67,7,9.4,-0.8,-3.12,Enrolled
1,17,2,9556,1,1,133.1,1,37,38,9,8,106.0,1,0,0,1,0,0,19,0,0,7,16,2,12,0,0,7,12,2,11.0,0,8.9,1.4,3.51,Dropout
1,17,4,9119,1,1,122.0,62,1,1,191,171,121.0,1,0,0,1,1,0,20,1,0,5,10,4,14,0,0,5,14,1,10.0,0,8.9,1.4,3.51,Enrolled
2,39,2,8014,0,1,100.0,1,34,34,0,0,100.0,1,0,0,1,0,0,41,0,0,6,9,5,11,0,1,6,10,3,10.666666666666666,1,7.6,2.6,0.32,Graduate
1,17,1,9670,1,1,149.0,1,19,37,7,4,134.3,0,1,0,1,0,0,20,0,0,6,7,6,12,0,0,6,9,6,13.77777777777778,0,10.8,1.4,1.74,Graduate
1,1,3,9085,1,1,142.0,1,11,11,90,90,155.3,0,0,0,1,0,0,19,0,0,5,5,5,15,0,0,5,6,5,13.2,0,7.6,2.6,0.32,Graduate
1,1,1,9500,1,1,147.0,1,38,19,5,8,147.3,0,0,0,1,0,0,18,0,0,7,7,6,13,0,0,7,7,6,13.966666666666669,0,7.6,2.6,0.32,Graduate
1,1,1,9773,1,1,133.1,1,1,3,9,9,116.0,0,0,0,1,1,0,20,0,0,6,8,6,11,0,0,6,8,6,11.0,0,16.2,0.3,-0.92,Graduate
1,1,6,171,1,1,134.0,1,19,37,5,5,126.0,1,0,0,1,0,1,18,0,0,0,0,0,0,0,0,0,0,0,0.0,0,9.4,-0.8,-3.12,Graduate
1,7,1,9773,1,43,140.0,1,19,1,4,8,140.0,0,0,0,1,1,0,25,0,0,6,6,6,14,0,0,6,6,6,13.5,0,11.1,0.6,2.02,Graduate
1,1,2,9556,1,1,136.0,1,19,19,9,9,129.5,1,0,0,1,0,0,18,0,0,7,9,7,15,0,0,8,8,8,16.8,0,12.7,3.7,-1.7,Graduate
1,1,2,9500,1,1,124.0,1,34,34,0,0,123.3,1,0,0,1,0,1,20,0,0,8,8,7,14,1,0,8,8,7,14.901428571428571,1,9.4,-0.8,-3.12,Dropout
1,1,1,9254,1,1,132.0,1,19,38,9,7,120.1,0,0,0,1,0,1,20,0,0,6,6,6,12,0,0,6,7,6,11.833333333333334,0,13.9,-0.3,0.79,Graduate
1,17,2,9556,1,1,136.0,1,1,1,9,9,128.3,0,0,0,1,0,1,18,0,0,7,7,7,13,0,0,8,8,8,14.75,0,15.5,2.8,-4.06,Graduate
1,1,1,9773,1,1,122.0,1,38,19,9,9,126.6,1,0,0,1,0,0,18,0,0,6,6,6,12,0,0,6,6,6,13.833333333333334,0,8.9,1.4,3.51,Graduate
1,1,1,9147,1,1,128.0,1,38,37,5,6,122.1,0,0,0,1,0,1,18,0,0,5,11,4,11,0,0,5,9,5,12.0,0,13.9,-0.3,0.79,Enrolled
1,1,5,9147,1,1,133.0,1,19,3,9,9,123.2,1,0,0,1,1,0,18,0,0,5,14,4,11,0,0,5,9,5,10.5,0,13.9,-0.3,0.79,Dropout
4,39,1,9500,1,1,133.1,1,37,37,9,9,130.0,0,0,1,1,0,0,38,0,0,7,13,3,11,0,0,7,14,2,10.0,0,16.2,0.3,-0.92,Dropout
1,1,1,9238,1,1,125.0,1,1,1,3,3,125.7,1,0,0,1,0,0,18,0,0,6,10,6,11,0,0,6,8,6,12.333333333333334,0,12.4,0.5,1.79,Graduate
1,17,1,9085,1,1,128.0,1,2,19,2,4,123.3,1,0,0,1,0,1,20,0,0,6,6,6,14,0,0,6,8,6,12.142857142857142,0,8.9,1.4,3.51,Graduate
1,17,2,9773,1,1,123.0,1,1,1,3,3,120.9,1,0,0,1,0,0,18,0,0,6,0,0,0,0,0,6,0,0,0.0,0,13.9,-0.3,0.79,Dropout
1,44,1,9003,1,1,140.0,1,1,1,4,5,140.0,0,0,0,1,1,0,20,0,0,6,11,6,11,0,0,6,12,5,11.77777777777778,0,16.2,0.3,-0.92,Enrolled
1,44,1,9003,1,39,140.0,1,19,38,3,9,140.0,1,0,0,1,1,0,21,0,0,6,7,6,12,0,0,6,6,6,13.166666666666666,0,12.4,0.5,1.79,Graduate
1,1,1,171,1,1,163.0,1,19,1,9,7,143.1,0,0,0,1,1,0,18,0,0,0,0,0,0,0,0,0,0,0,0.0,0,9.4,-0.8,-3.12,Graduate
1,1,4,9500,1,1,135.0,1,38,37,9,8,126.3,1,0,0,1,0,1,19,0,0,7,7,6,15,0,0,7,7,6,15.433333333333332,0,7.6,2.6,0.32,Graduate
1,43,2,9147,1,1,130.0,1,34,37,9,9,118.5,1,0,0,1,1,0,23,0,5,10,19,8,11,1,4,10,16,10,11.181818181818182,3,7.6,2.6,0.32,Graduate
1,43,1,9500,1,1,121.0,1,38,19,5,5,115.4,1,0,0,1,0,1,24,0,0,8,8,7,11,0,0,8,8,7,11.971428571428572,0,12.7,3.7,-1.7,Enrolled
1,17,2,9500,1,1,135.0,1,19,1,5,4,127.3,1,0,0,1,0,0,18,0,0,7,8,7,13,0,0,8,8,8,14.545,0,15.5,2.8,-4.06,Graduate
1,17,1,9773,1,1,128.0,1,19,38,5,7,125.6,1,0,0,1,1,0,19,0,0,6,6,0,0,0,0,6,0,0,0.0,0,8.9,1.4,3.51,Dropout
1,7,1,9070,1,3,133.1,1,3,5,2,2,120.0,1,0,0,1,0,0,32,0,0,3,3,2,16,0,0,3,3,1,16.0,0,7.6,2.6,0.32,Dropout
1,43,2,9500,1,6,119.1,1,1,19,4,10,119.1,0,0,0,1,1,0,22,0,0,7,7,6,12,0,0,7,7,6,12.733333333333334,0,7.6,2.6,0.32,Graduate
1,1,3,9500,1,1,139.0,1,18,18,1,1,130.8,1,0,0,0,0,0,18,0,0,8,9,6,12,1,0,8,9,6,12.758333333333333,1,9.4,-0.8,-3.12,Dropout
1,17,2,8014,0,1,122.0,1,37,19,9,9,123.8,0,0,0,1,0,0,20,0,0,6,8,5,12,0,0,6,8,6,11.0,0,10.8,1.4,1.74,Graduate
1,39,1,9991,0,1,120.0,1,38,38,3,3,140.0,0,0,0,1,0,0,25,0,0,5,11,3,10,0,0,5,11,3,11.333333333333334,0,15.5,2.8,-4.06,Enrolled
1,17,1,9238,1,1,128.0,1,19,1,0,5,122.1,1,0,0,1,0,0,18,0,0,6,9,5,11,0,0,6,7,5,13.8,0,13.9,-0.3,0.79,Graduate
1,1,6,9147,1,1,112.0,1,38,38,9,9,117.3,1,0,0,1,0,0,20,0,0,5,8,4,12,0,0,5,8,5,11.2,0,11.1,0.6,2.02,Graduate
1,1,1,9085,1,1,129.0,1,1,38,4,7,123.4,0,0,0,1,0,0,19,0,0,5,6,5,12,0,0,5,6,5,13.4,0,7.6,2.6,0.32,Graduate
1,1,1,9147,1,1,158.0,1,1,38,3,6,155.2,0,0,0,1,1,1,18,0,0,5,5,5,11,0,0,5,8,3,11.0,0,9.4,-0.8,-3.12,Graduate
1,39,1,9991,0,1,110.0,1,37,37,9,9,139.0,0,0,0,1,1,0,40,0,0,5,0,0,0,0,0,5,0,0,0.0,0,12.7,3.7,-1.7,Dropout
1,17,3,9853,1,1,138.0,1,37,37,5,9,125.1,1,1,0,1,0,1,19,0,0,6,6,6,13,0,0,6,8,5,12.8,0,12.7,3.7,-1.7,Dropout
1,1,3,9500,1,1,154.0,1,1,37,4,9,134.8,1,0,0,1,0,0,19,0,0,7,7,6,13,0,0,7,7,6,13.533333333333331,0,7.6,2.6,0.32,Graduate
2,43,1,8014,0,1,130.0,1,34,34,0,0,130.0,0,0,0,1,0,0,45,0,10,12,12,9,12,3,4,7,8,6,12.0,0,9.4,-0.8,-3.12,Dropout
1,17,1,9853,1,1,120.0,1,37,37,9,10,122.6,0,0,0,1,0,0,20,0,0,6,8,3,12,0,0,6,11,2,10.5,0,12.7,3.7,-1.7,Dropout
1,17,1,9254,1,1,128.0,1,19,1,5,7,120.7,1,0,1,1,0,0,18,0,0,6,8,6,11,0,0,6,10,4,11.5,0,13.9,-0.3,0.79,Graduate
2,39,1,9500,1,1,100.0,1,37,38,4,4,130.0,0,0,0,1,1,1,33,0,0,8,16,1,10,1,0,8,16,1,10.0,1,12.7,3.7,-1.7,Enrolled
1,43,1,9853,1,1,140.0,1,37,19,9,8,122.3,0,0,0,1,0,0,22,0,0,6,9,5,13,0,0,6,8,5,12.0,0,12.7,3.7,-1.7,Dropout
2,7,1,9130,1,2,110.0,1,19,19,4,8,110.0,1,0,0,1,1,0,37,0,0,6,9,0,0,0,0,6,6,0,0.0,0,16.2,0.3,-0.92,Dropout
1,7,1,9254,1,3,110.0,1,19,19,3,3,110.0,0,0,0,1,1,0,35,0,0,6,7,0,0,0,0,6,6,0,0.0,0,16.2,0.3,-0.92,Dropout
1,44,1,9003,1,39,160.0,1,38,38,6,6,160.0,1,0,0,1,0,0,21,0,0,6,11,6,13,0,0,6,12,6,12.857142857142858,0,15.5,2.8,-4.06,Graduate
1,43,1,9853,1,1,140.0,1,37,37,6,6,125.2,0,0,1,1,0,0,41,0,20,21,23,21,12,0,19,19,19,19,12.105263157894736,0,12.4,0.5,1.79,Graduate
1,44,1,9085,1,1,140.0,1,4,4,2,6,140.0,0,0,0,1,0,0,22,0,2,6,9,6,13,0,1,6,9,4,11.5,0,13.9,-0.3,0.79,Graduate
1,39,1,9773,1,19,133.1,1,19,1,7,9,115.0,1,0,1,0,1,0,25,0,0,6,10,4,13,0,0,6,9,4,13.75,0,12.7,3.7,-1.7,Dropout
1,39,1,9119,1,19,133.1,1,1,19,4,5,100.0,0,0,0,1,1,0,25,0,0,5,13,1,11,0,0,5,11,1,10.0,0,13.9,-0.3,0.79,Enrolled
1,5,1,9853,1,1,119.0,1,1,38,5,8,118.3,1,0,0,1,0,0,22,0,0,6,11,3,15,0,0,6,11,4,10.25,0,9.4,-0.8,-3.12,Enrolled
1,17,2,9238,1,1,145.0,1,19,38,7,6,128.6,1,0,0,1,0,1,19,0,0,6,12,5,11,0,0,6,11,6,11.0,0,12.7,3.7,-1.7,Graduate
1,17,1,9119,1,1,126.0,1,1,1,9,9,116.2,0,0,1,0,1,0,21,0,0,5,9,2,11,0,0,5,8,2,11.5,2,7.6,2.6,0.32,Dropout
2,42,1,9254,1,1,136.0,1,2,2,134,112,130.0,1,0,0,1,1,0,22,0,2,6,13,4,11,0,2,6,12,2,12.5,0,7.6,2.6,0.32,Dropout
1,7,1,9991,0,40,120.0,1,43,3,3,3,120.0,0,0,0,1,0,0,27,0,0,5,5,5,15,0,0,5,6,5,14.0,0,11.1,0.6,2.02,Enrolled
1,1,5,9070,1,1,117.0,1,19,37,5,5,131.0,1,0,1,0,1,0,21,0,0,6,6,1,14,0,0,6,7,0,0.0,7,9.4,-0.8,-3.12,Dropout
1,43,1,9238,1,1,130.0,1,38,37,9,7,133.2,0,0,0,1,0,0,20,0,5,9,15,9,11,0,2,7,8,7,11.714285714285714,0,7.6,2.6,0.32,Graduate
1,53,1,9085,1,42,160.0,1,19,37,4,9,160.0,1,0,0,1,0,0,20,0,7,11,15,11,13,0,4,9,9,9,13.88888888888889,0,8.9,1.4,3.51,Graduate
1,1,3,9500,1,1,149.0,1,1,1,4,4,129.3,1,0,0,1,1,0,18,0,0,8,8,7,13,0,0,8,8,7,13.1,0,12.7,3.7,-1.7,Graduate
1,17,1,9670,1,1,121.0,1,19,38,4,10,114.4,0,0,0,1,0,0,19,0,0,6,10,5,11,0,0,6,9,4,14.6,0,11.1,0.6,2.02,Graduate
1,17,1,9500,1,1,130.0,1,1,3,9,2,128.6,1,0,0,1,0,0,18,0,0,7,7,7,14,0,0,8,11,8,16.327272727272728,0,16.2,0.3,-0.92,Graduate
1,1,2,9773,1,1,132.0,1,38,1,9,9,124.3,1,0,0,1,0,0,19,0,0,6,6,5,12,0,0,6,7,5,10.8,0,10.8,1.4,1.74,Enrolled
6,39,1,8014,0,1,133.1,1,37,37,9,9,119.0,0,0,0,1,0,1,48,0,0,6,7,6,10,0,0,6,9,5,11.8,0,10.8,1.4,1.74,Enrolled
1,43,1,9853,1,1,130.0,1,2,39,2,5,124.6,0,0,0,1,1,0,37,0,19,21,21,21,12,0,13,19,19,19,12.210526315789474,0,12.4,0.5,1.79,Graduate
2,39,1,9853,1,10,133.1,1,37,34,0,0,115.5,0,0,0,1,0,0,39,0,0,6,12,3,12,0,0,6,14,0,0.0,1,7.6,2.6,0.32,Dropout
1,39,1,9147,1,19,133.1,1,3,1,3,5,153.2,1,0,1,1,0,0,24,0,0,5,8,5,10,0,0,5,6,5,12.2,0,12.4,0.5,1.79,Graduate
1,39,1,9254,1,19,133.1,1,37,37,90,90,100.0,0,0,0,1,1,0,48,0,0,6,13,3,10,0,0,6,15,1,10.0,0,7.6,2.6,0.32,Dropout
1,44,1,9130,1,39,150.0,1,3,1,2,8,150.0,0,0,0,0,1,0,22,0,0,5,5,0,0,0,0,5,5,0,0.0,0,12.7,3.7,-1.7,Dropout
1,1,1,9238,1,1,152.0,1,1,38,4,5,144.7,0,0,0,1,0,0,20,0,0,6,8,6,14,0,0,6,7,6,15.428571428571429,0,16.2,0.3,-0.92,Graduate
1,1,1,9130,1,1,132.0,1,1,1,3,3,143.9,1,0,0,1,1,0,20,0,0,5,14,2,11,3,0,5,9,3,12.666666666666666,0,9.4,-0.8,-3.12,Enrolled
1,39,1,9119,1,19,133.1,1,1,1,4,3,134.4,0,0,1,0,1,0,31,0,0,5,9,2,13,0,0,5,9,2,16.0,4,16.2,0.3,-0.92,Dropout
1,17,1,9130,1,1,145.0,1,38,37,9,7,129.3,1,0,0,1,0,0,19,0,0,5,5,5,11,0,0,5,5,5,13.2,0,10.8,1.4,1.74,Graduate
1,17,1,9147,1,1,133.1,1,1,19,4,8,95.0,0,0,0,1,1,0,20,0,0,5,14,0,0,0,0,5,5,0,0.0,0,11.1,0.6,2.02,Dropout
1,17,1,9556,1,1,133.0,1,38,37,9,9,124.4,1,0,0,1,0,1,18,0,0,7,7,7,13,0,0,8,8,8,15.125,0,15.5,2.8,-4.06,Graduate
1,1,3,9070,1,1,146.0,1,34,34,0,0,143.6,1,0,0,1,0,0,18,0,0,6,6,6,12,0,0,6,6,6,13.0,0,7.6,2.6,0.32,Dropout
1,44,1,9003,1,39,160.0,1,37,38,9,9,160.0,0,0,1,1,0,1,19,0,0,6,8,6,13,0,0,6,11,5,13.0,0,15.5,2.8,-4.06,Graduate
5,39,1,9147,1,1,133.1,1,19,19,9,9,119.8,0,0,0,1,1,0,26,0,0,5,9,5,12,0,0,5,5,5,10.2,0,11.1,0.6,2.02,Enrolled
2,7,1,9500,1,3,120.0,1,37,19,9,7,120.0,1,0,0,1,0,0,45,0,7,11,11,11,12,0,6,10,12,10,12.96818181818182,0,13.9,-0.3,0.79,Enrolled
1,17,2,9853,1,1,133.1,1,19,1,9,3,107.0,1,0,0,1,0,0,20,0,0,7,12,6,11,0,0,7,10,3,13.0,0,16.2,0.3,-0.92,Enrolled
1,1,6,9853,1,1,136.0,1,1,19,5,5,122.0,0,0,0,1,0,0,18,0,0,6,6,6,12,0,0,6,6,6,12.0,0,7.6,2.6,0.32,Graduate
1,1,1,9147,1,1,153.0,1,1,38,4,3,146.7,0,0,0,1,0,0,18,0,0,5,5,5,16,0,0,5,5,5,16.4,0,11.1,0.6,2.02,Graduate
2,39,1,9991,0,1,100.0,1,37,37,1,1,161.9,0,0,0,1,1,0,59,0,0,5,7,0,0,0,0,5,7,0,0.0,0,16.2,0.3,-0.92,Dropout
2,39,1,8014,0,3,110.0,1,37,37,9,9,160.5,0,0,0,1,0,0,38,0,8,11,11,11,12,0,5,8,8,8,11.0,0,13.9,-0.3,0.79,Graduate
1,39,1,9991,0,19,133.1,1,19,37,7,5,155.5,1,0,1,0,1,0,39,0,0,5,6,5,10,0,0,5,7,5,14.666666666666666,0,10.8,1.4,1.74,Dropout
1,18,1,9254,1,1,118.0,1,38,38,5,5,123.3,1,0,0,1,1,0,26,0,0,6,10,4,10,0,0,6,11,3,12.0,0,9.4,-0.8,-3.12,Enrolled
1,17,1,9254,1,1,133.1,1,1,1,4,5,131.0,1,0,0,1,0,0,21,0,0,6,12,3,11,0,0,6,12,2,11.0,0,9.4,-0.8,-3.12,Dropout
1,43,1,9500,1,1,140.0,100,1,1,6,6,128.2,0,0,0,1,0,0,39,1,0,7,0,0,0,0,0,8,0,0,0.0,0,12.7,3.7,-1.7,Dropout
1,44,1,8014,0,39,130.0,1,37,38,6,6,130.0,1,0,0,1,0,0,23,0,5,9,10,9,10,0,3,8,10,6,11.333333333333334,0,11.1,0.6,2.02,Graduate
1,17,1,9003,1,1,120.0,1,38,37,5,9,131.4,1,0,0,1,1,1,23,0,17,18,19,18,11,0,12,13,13,13,12.923076923076923,0,15.5,2.8,-4.06,Graduate
